,,0,1,2,3,4,5,6,7,8,9
,Max,64859,68162,63409,68439,69514,67031,66322,64458,63102,69028
,Mean,64835.75,68100.75,63281.2,68339.85,69456.75,66910.35,66276.2,64390.05,63040.3,68946.25
,Std. Dev.,13.9316942710913,31.6491872349288,56.7687831192646,77.0572411980382,33.6465764270774,60.019536293128,12.1983605455815,25.180349481292,36.9852033002104,38.6902340458974
,ARPD,0.05053778374458,0.056933384267286,0.188721066464013,0.166871867030164,0.093310468065483,0.103753684116037,0.027468381176613,0.048245000699203,0.094155380194027,0.07003106040814
50x10,1,87439,82975,80134,86684,86569,86829,89105,86957,85711,88302
,10,87480,82952,79987,86843,86572,86858,89049,86909,85619,88077
,11,87592,83196,80288,86843,86450,86858,89049,86999,85844,88108
,12,87451,83030,79987,86721,86632,86749,89157,87148,85768,88077
,13,87298,83063,80252,86693,86683,86749,89265,86975,85923,88090
,14,87358,82820,80288,86743,86525,86847,89131,87105,85657,88148
,15,87512,82975,80125,86843,86632,86686,89021,86957,85787,88323
,16,87645,82954,80295,86733,86475,86758,89008,86925,85619,88117
,17,87463,82975,80264,86684,86569,86650,89207,87105,85844,88302
,18,87475,83136,80123,86843,86572,86637,88900,86824,85739,88077
,19,87352,82820,80097,86843,86450,86747,89303,86948,85739,88108
,2,87399,83218,80242,86582,86572,86711,89303,86909,85834,88077
,20,87634,82976,80252,86721,86683,86686,88866,87023,85831,88077
,3,87632,82887,80114,86581,86450,86703,88974,86999,85711,88108
,4,87634,82976,80196,86749,86683,86783,88866,86975,85881,88077
,5,87577,82820,80097,86596,86632,86651,89251,87148,85839,88090
,6,87632,83136,80173,86684,86525,86911,88866,87026,85727,88148
,7,87475,83136,80196,86582,86632,86686,89223,86932,85779,88323
,8,87475,82975,80242,86843,86475,86686,89049,86909,85665,88117
,9,87352,83030,80125,86733,86569,86789,89131,86957,85923,88302
,Min,87298,82820,79987,86581,86450,86637,88866,86824,85619,88077
,Max,87645,83218,80295,86843,86683,86911,89303,87148,85923,88323
,Mean,87493.75,83002.5,80173.85,86727.2,86567.5,86748.7,89086.2,86986.5,85772,88152.4
,Std. Dev.,110.091767941209,118.12415413231,93.3348668420384,94.2698255010584,79.0978740814854,79.5494549916823,145.649398791828,85.5290040063357,92.6487424290487,96.1650992605398
