,Repetition\File,0,1,2,3,4,5,6,7,8,9
,7,65299,68667,63897,69085,69959,67424,66843,65021,63428,69576
,8,65363,68813,64014,69019,69955,67469,66801,64751,63444,69647
,9,65351,68737,63873,68996,69988,67443,66809,64893,63353,69451
,Min,65189,68557,63857,68749,69782,67230,66719,64747,63353,69416
,Max,65443,68813,64070,69178,70015,67615,66963,65021,63662,69676
,Mean,65315.2,68681.95,63968.7,69009.5,69934.55,67475.45,66831.45,64914.9,63526.75,69567.5
,Std. Dev.,65.3239699699244,61.7861123895211,74.6303874895615,104.622378606411,54.3221143298304,92.1506061321699,61.2290565697452,78.5847849208269,85.2469323417811,71.1229476625549
,ARPD,0.790395506380878,0.910860685845259,1.27719198252114,1.14838917714654,0.781862462531704,0.94919286066935,0.865480394820248,0.863748659861092,0.866531176068973,0.971726320067346
50x10,1,88884,84455,81313,87887,87751,87763,89950,88156,86938,89620
,10,89161,84533,81131,87899,87708,88187,90377,88165,87079,89762
,11,88703,84622,81382,87673,87931,88244,90258,88444,87229,89886
,12,88757,84519,81314,87649,87809,87904,90558,88098,87119,89552
,13,88616,84593,81333,88083,87978,88075,90413,88416,86838,89791
,14,88837,84571,81258,87902,87814,87774,90204,88410,87104,89744
,15,89072,84269,81237,87880,87655,87959,90272,88404,87185,89940
,16,88633,84439,81405,87845,88129,87633,90402,88350,86993,89989
,17,88913,84353,81474,87985,88126,87817,90278,88234,87118,89737
,18,88701,84420,81331,87879,87924,87892,90301,88499,86858,89943
,19,88473,84549,81248,87994,87996,87752,90282,88360,86987,89716
,2,88882,84518,80927,87858,88243,88059,90467,88278,86893,89527
,20,88878,84420,81129,87887,88143,88015,90391,88233,87047,89846
,3,88703,84362,81341,87963,87810,87967,90183,88418,87067,89572
,4,88711,84510,81106,87679,88164,87798,90309,88603,87046,89760
,5,88854,84483,81197,87604,88012,87871,90494,88227,87028,89894
,6,89022,84075,81233,87923,87885,87846,90253,88261,87248,89593
,7,89161,84646,81422,87839,87951,87893,90429,88086,86907,89589
,8,88761,84264,81331,87750,87906,87538,90138,88432,86677,89727
,9,88723,84445,81433,87828,87412,87886,90355,88381,87186,89846
,Min,88473,84075,80927,87604,87412,87538,89950,88086,86677,89527
,Max,89161,84646,81474,88083,88243,88244,90558,88603,87248,89989
,Mean,88822.25,84452.3,81277.25,87850.35,87917.35,87893.65,90315.7,88322.75,87027.35,89751.7
,Std. Dev.,181.432856944235,137.812649331582,132.467622657884,124.204955829595,199.623929321849,171.257969464966,137.936713177113,138.396027855989,144.630663924938,141.417299619173
,ARPD,1.85220223147224,1.97090074861145,1.6130746246265,1.46608378281609,1.69733950260266,1.45047727876081,1.6313325681363,1.72619321846494,1.75543109697636,1.90140445292188
50x20,1,128093,121055,118667,122843,120312,122564,125050,125120,124098,126187
,10,128296,121640,118933,122897,120228,122879,125467,124887,124178,126396
,11,128117,121579,118565,122629,120517,122611,125152,124491,123822,126147
,12,127760,121211,118644,122852,120706,122734,125211,125310,123902,126212
,13,128442,121327,118917,123001,120303,122540,125305,124738,123806,126492
,14,128119,121495,118536,122628,120603,122495,124878,124654,123935,126351
,15,128054,121411,118823,123041,120796,123088,125174,125168,124138,125954
,16,128159,120960,118739,122680,120424,122828,125032,125109,123920,126427
,17,128101,121425,118460,122571,120342,122649,125297,124651,123683,125947
,18,127901,121719,118567,122758,120433,122647,125137,125023,123981,126030
,19,127856,121049,118856,122959,120485,122667,125348,124912,124056,126395
,2,128182,121377,118930,122989,120352,122864,125202,124813,124086,126162
,20,127916,121461,118887,122974,120468,122973,125004,124904,123697,125848
,3,127867,121213,118639,122993,120644,123087,125483,124781,123961,126085
,4,127955,121578,118832,123011,120299,122472,125229,124675,124217,126049
,5,128098,121410,118401,122638,120322,122627,125206,124891,124246,126209
,6,127836,121003,118881,122844,120662,122599,125261,124879,123925,126219
,7,128203,121491,118603,122605,120242,122922,125393,124908,124246,125933
