,,0,1,2,3,4,5,6,7,8,9
,14,86082,89080,87678,88818,90076,90578,85809,87867,88025,94696
,15,86574,89633,86442,88302,90933,91289,85513,87706,87943,94554
,16,86753,89620,87316,88674,90609,90647,85784,88211,88020,94235
,17,85911,89376,87301,88883,90190,90508,86145,88489,87824,93996
,18,86043,89275,87477,88296,90096,90175,86178,88813,87560,93959
,19,86402,89597,87212,88332,89877,91529,85482,87937,88002,94412
,2,86153,89629,86987,88087,90168,90356,85496,88325,87420,94701
,20,86613,89697,87194,88711,90433,90017,85417,88306,87940,94436
,3,86321,89393,87573,88167,89391,91101,85669,88002,88203,94862
,4,86191,89422,87576,88125,90339,90950,85124,88306,88185,94347
,5,86264,88898,86894,88356,89586,89937,85074,88384,88452,94337
,6,86945,89223,87170,88466,89514,91642,85287,87897,87688,94172
,7,86142,88833,87396,89023,90097,90510,85466,88208,88194,94875
,8,86795,89547,86941,88704,89782,89997,86011,88293,87864,94471
,9,86906,89517,87244,89020,90109,91003,85576,88175,87693,94809
,Best,85849,88833,86442,88087,89391,89904,85074,87706,87420,93929
,Mean,86354.25,89368.5,87236.4,88517,90064.45,90722.2,85546.05,88179,87932.4,94419.8
50x20,1,125909,117082,126950,126781,127744,123280,128023,123626,128501,128138
,10,125895,117327,127202,126122,127713,124211,128531,124199,127580,128446
,11,124860,116912,127685,127074,128167,123302,127890,124569,127855,128641
,12,125516,117309,127471,126634,127184,123558,127382,123993,127793,128587
,13,125224,117918,127139,127010,127516,124241,128145,124190,128558,127696
,14,124903,117922,127622,125872,126785,123634,127388,123639,128058,128001
,15,125913,116400,127598,125945,127613,124287,127281,124164,128123,128220
,16,125779,117883,126741,127419,127678,124195,127061,124056,127682,128647
,17,124986,117051,126936,126292,126609,124295,128127,123901,127864,128379
,18,125033,117146,126865,126661,126620,124442,127367,123516,127578,128676
,19,125399,117143,126594,127130,127464,123776,126568,123678,127098,128939
,2,124852,117607,127580,125644,127432,123656,128365,123874,127689,128692
,20,125175,117495,127133,126765,127546,123340,127464,123427,127430,128127
,3,125141,117258,127914,127035,126883,123363,127483,124291,128589,127486
,4,125586,117299,127929,126834,127422,123364,128255,124543,127327,128346
,5,124737,117493,127281,125895,127684,123616,127900,124287,127878,128225
,6,125541,117727,127638,126399,127906,123356,127976,123988,129031,128536
,7,125578,117486,127770,126408,127224,123666,128822,124117,127837,128171
,8,125543,116582,126237,125697,125643,124167,127820,123262,129131,128772
,9,125572,117038,127645,125991,127410,123774,127629,124148,128295,127868
,Best,124737,116400,126237,125644,125643,123280,126568,123262,127098,127486
,Mean,125357.1,117303.9,127296.5,126480.4,127312.15,123776.15,127773.85,123973.4,127994.85,128329.65
100x5,1,248576,259824,241754,249583,263550,231087,246017,241115,258120,255308
,10,248623,260331,241732,249611,263730,230448,245781,240913,258937,255350
,11,249047,260461,242156,249595,263708,231390,245037,241509,258048,255248
,12,248213,260526,241701,249894,264028,231164,245253,239878,258047,255678
,13,248958,260531,242153,249762,263975,231265,245339,240255,258071,255103
