,,0,1,2,3,4,5,6,7,8,9
,18,65184,68391,64188,68986,69779,67248,66863,65063,63467,69398
,19,65187,68305,63935,69219,70027,67257,67190,65147,63408,69777
,2,65517,68851,63990,69025,70224,67127,66973,64823,63531,69440
,20,65013,68680,64127,68980,70258,67394,66936,64836,63591,69871
,3,65252,68637,63796,68898,69892,67548,67017,64907,63637,69534
,4,65213,68728,63892,69020,69978,67577,66952,65314,63519,69505
,5,65145,68561,64211,69262,69737,67633,66824,65199,63349,69384
,6,65128,69392,64136,69222,70164,67253,66726,65054,63496,69251
,7,65587,68774,64204,69015,70098,67207,66691,65020,63647,69585
,8,65301,69023,64247,69160,70215,67726,67094,64899,63564,69618
,9,65372,68623,63967,69664,70348,67088,66741,64877,63324,69698
,Best,65013,68305,63673,68845,69737,67088,66416,64741,63219,69251
,Max,65593,69392,64324,69664,70348,67726,67190,65314,63666,69963
,Mean,65312.25,68698.9,64005.5,69090.7,70011.35,67389.7,66885.9,64983.05,63491.65,69538.3
,Std. Dev.,164.185669930498,266.81767873252,194.665029433154,188.360823952328,165.486611002379,171.547170128065,202.867055248661,140.312986606822,132.737681557511,184.16842977643
,ARPD,0.785843247997778,0.935764450060239,1.33545486210063,1.26740538797526,0.892538044731381,0.820903337771727,0.947659150593136,0.969639055920695,0.810800082564583,0.929344828587187
50x10,1,88635,84816,80989,88124,87876,87774,91004,88297,87049,89806
,10,89161,84611,81795,88114,88519,87993,90567,89291,87284,89886
,11,88698,84598,81396,88046,88461,88208,90937,88830,87577,89864
,12,89445,85285,81670,88243,88015,87966,90291,88570,87081,90490
,13,88402,84751,81612,88388,88462,88487,90654,88902,87266,89936
,14,89519,85203,81974,88051,87499,87875,90607,88389,87317,89925
,15,88859,85015,81286,88118,88801,87606,90552,88799,87381,89260
,16,88952,85052,81490,87754,87848,87676,90372,88663,86479,89657
,17,89776,85022,82072,88091,88402,88140,90125,88469,87220,89448
,18,89200,85089,81347,87816,88274,87798,90512,88438,87461,90580
,19,88438,84553,81058,88161,88097,87973,90434,88395,87488,89495
,2,89186,84820,80924,88194,87576,88012,91074,88712,87595,90365
,20,89084,85530,81859,87954,88244,87872,91030,88196,87965,89986
,3,88585,84789,81459,88052,88181,87873,90659,88468,87578,89785
,4,89226,84965,81072,88459,88144,88702,90271,88466,87563,89632
,5,89102,84699,81267,88497,88308,87813,90710,89187,86894,89532
,6,88838,84519,81338,88685,88294,87537,90820,89080,87995,89802
,7,88751,84107,81428,88679,87884,88299,90564,88852,87313,89291
,8,89173,84490,81766,87666,88339,88648,90102,88089,86926,89951
,9,89786,85056,81389,88137,88610,87386,91023,87652,87078,90087
,Best,88402,84107,80924,87666,87499,87386,90102,87652,86479,89260
,Max,89786,85530,82072,88685,88801,88702,91074,89291,87995,90580
,Mean,89040.8,84848.5,81459.55,88161.45,88191.7,87981.9,90615.4,88587.25,87325.5,89838.9
,Std. Dev.,399.577355662073,326.464876808323,324.323340121195,273.822354052673,333.429563302672,349.75418435479,298.841341464699,390.276673116582,358.178652865328,358.888034145235
,ARPD,2.10281284759251,2.449287611688,1.8409866603323,1.82540049202481,2.01469057258531,1.55233906991239,1.96858190984178,2.0308324887128,2.10403853798845,2.00040873326748
50x20,1,128184,121350,119822,122589,121912,122404,125700,124571,124160,126644
,10,127886,122421,120002,123796,121303,123147,125914,125443,124094,126279
,11,128379,121223,118586,122805,120413,122820,125228,126357,124775,126611
,12,127809,121943,120808,123282,121109,123156,125238,124856,124389,126542
,13,127973,120530,119469,122835,120633,122356,126122,124738,124001,126503
,14,128472,120744,118244,122960,121015,123340,124824,125215,125010,126097
,15,127992,121099,118997,123053,120388,122963,126202,125303,124407,126004
,16,128246,121531,119045,122758,120547,122754,125299,125346,123937,126746
,17,128365,122019,118665,123583,121182,122990,125755,125130,124740,126144
,18,127888,120821,119763,123878,120975,122605,125984,125139,124555,127004
,19,128375,121368,119563,123797,119872,122411,125877,125514,123315,126392
,2,127803,120561,119203,122269,120283,122585,125483,125456,123802,126530
,20,127822,121157,118965,123813,121217,122088,125496,125658,124075,126682
,3,127129,120924,118114,123157,121066,123433,126214,125398,123736,126083
,4,127977,121697,119288,122847,120902,122637,124847,125350,124418,126716
,5,127787,120655,118479,122895,121781,123444,125275,125882,123176,126829
,6,128027,121118,118415,122784,120502,123012,125086,124507,123673,126331
,7,128200,120312,118679,122742,120726,123491,125273,124999,123662,126295
,8,128638,120570,118323,122399,121099,123163,125661,124862,123664,126386
,9,127862,120714,118921,122349,121124,122124,125482,124813,123593,126745
,Best,127129,120312,118114,122269,119872,122088,124824,124507,123176,126004
,Max,128638,122421,120808,123878,121912,123491,126214,126357,125010,127004
,Mean,128040.7,121137.85,119067.55,123029.55,120902.45,122846.15,125548,125226.85,124059.1,126478.15
,Std. Dev.,332.943823300094,565.063319693606,685.382449900476,507.389446086534,494.381003190646,435.948122819073,420.696415107391,449.377262090786,497.310545783385,275.480111995881
,ARPD,1.75608554330809,1.57543665467596,2.23988699885797,1.91990025846643,2.30018445813308,1.77555653132068,2.10308875912884,2.23518030190466,1.79458776421163,1.94589083053908
100x5,1,256188,245107,240470,228944,241427,234020,243601,233620,250972,246325
,10,256397,244924,240276,230222,242670,234571,243715,233772,250977,245381
,11,256174,244742,240062,229459,242914,235816,242715,233897,251091,246096
,12,255868,246004,240010,229863,242223,234412,243387,234152,251144,246763
,13,256211,245356,240006,229524,242206,234915,243396,233376,249888,245442
,14,255639,244868,240086,229665,242850,234925,242979,232607,250874,245352
,15,255319,244820,240448,229654,243212,234048,242426,233317,251458,245484
,16,255661,245517,240767,229522,242589,234325,243240,233119,250844,245826
,17,255790,245852,239990,230114,242030,235142,243583,233216,250739,245550
,18,255593,245303,239574,229705,242624,234930,242511,233315,251541,245964
,19,255458,245570,240501,230309,242395,234632,242604,233472,250105,245861
,2,255946,244794,240181,229889,242413,235309,242411,233493,250260,245681
,20,256355,244863,239973,229654,242550,235404,243428,233589,249944,245641
,3,255461,245825,239470,229702,242181,234125,243566,233629,250352,245158
,4,255001,244602,239718,229347,243436,234775,242839,233357,250781,245396
,5,255881,244722,239974,229518,242852,234783,242562,233240,250432,245598
,6,255880,245380,239674,229785,242598,234628,242948,233139,249823,245244
,7,255557,244943,240463,229185,242570,235567,243074,233959,250775,245588
,8,256539,245324,239885,229877,242185,234571,243378,233468,250558,245373
,9,255169,245467,240297,229513,242519,234868,243137,234670,250345,246049
,Best,255001,244602,239470,228944,241427,234020,242411,232607,249823,245158
,Max,256539,246004,240767,230309,243436,235816,243715,234670,251541,246763
,Mean,255804.35,245199.15,240091.25,229672.55,242522.2,234788.3,243075,233520.35,250645.15,245688.6
,Std. Dev.,420.242195206025,418.850843317008,338.740682528686,328.971679312177,436.222975335466,490.882352718578,429.757459137373,434.895059937331,495.977214565771,396.996937546189
,ARPD,0.8242975330393,0.997685118442027,0.802439331597951,0.782639793934766,0.803528008346184,0.795196963972937,0.99971329917854,0.904104084207615,0.87095190376729,0.956854043392505
100x10,1,304943,280245,293481,308161,290260,273355,284784,297524,307864,297126
,10,303863,280898,294027,307067,290852,275183,284497,296950,306936,295812
,11,304099,280078,293552,306181,290492,274886,285011,298497,308231,295644
,12,304659,280614,294140,309600,290585,274853,284803,296666,307642,295693
,13,304726,280520,293214,308010,290809,274937,285303,297628,308108,295610
,14,305086,280045,293416,308786,290133,275466,284133,296502,307358,297311
,15,304523,279257,293784,307548,291265,276723,284356,295722,308082,297506
,16,304563,280278,293985,309005,290557,274859,285322,295201,307131,296581
,17,305019,279522,295916,308505,291383,274725,285507,296134,308147,296884
,18,304323,280858,292414,308211,290264,275000,284414,296931,308273,296336
,19,305082,280720,294634,308155,289898,276071,284295,296073,308111,296409
,2,304326,281532,293264,308540,290414,276810,284839,297049,307643,297874
,20,304372,280539,292777,307252,289578,275583,285627,298885,307849,295964
,3,304234,279233,292153,305958,289196,275088,284517,296566,309503,296400
,4,303889,279675,294312,307368,289950,276688,284748,297575,308315,297116
,5,303194,280215,294441,307851,291118,275977,285111,297527,306691,296342
,6,305160,280067,292552,309535,289637,276385,285455,296917,308024,297997
,7,303390,279948,293490,306220,289694,274844,285307,298733,308209,296146
,8,305090,280312,292988,308042,289773,274729,284726,298774,308052,296555
,9,305376,280936,292517,306591,289464,276252,284746,297040,308550,297064
,Best,303194,279233,292153,305958,289196,273355,284133,295201,306691,295610
,Max,305376,281532,295916,309600,291383,276810,285627,298885,309503,297997
,Mean,304495.85,280274.6,293552.85,307829.3,290266.1,275420.7,284875.05,297144.7,307935.95,296618.5
,Std. Dev.,598.49321985343,584.201154974624,900.484330206455,1058.60782957718,621.949050206391,878.930636147071,438.584022436798,1022.07704416572,611.971230403934,721.71028594728
